* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = I:\Common\6. Lab operations\PCR-runs\B96_001155 250630 AH S.eds
* Experiment Run End Time = 2025-06-30 15:25:53 PM CEST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	NOAMP
A1	SE-25-0671-001-1A	BnAcc8	UNKNOWN	VIC	TAMRA	23.1658	23.1658					false	0.1	false	3	15	1845782	N
A2	SE-25-0671-001-1A	B11b	UNKNOWN	FAM	TAMRA	Undetermined						false	0.1	false	3	15	1845783	N
A3	SE-25-0671-001-1A	Sh	UNKNOWN	FAM	TAMRA	Undetermined						false	0.1	false	3	15	1845784	N
A4	SE-25-0671-001-1A	n	UNKNOWN	FAM	TAMRA	Undetermined						false	0.1	false	3	15	1845785	N
A5	SE-25-0671-001-1A	pt	UNKNOWN	FAM	TAMRA	Undetermined						false	0.1	false	3	15	1845786	N
A6	SE-25-0671-001-1A	SbEP1	UNKNOWN	FAM	TAMRA	Undetermined						false	0.1	false	3	15	1845787	N
A7																		N
A8																		N
A9																		N
A10																		N
A11																		N
A12																		N
B1	SE-25-0671-001-1B	BnAcc8	UNKNOWN	VIC	TAMRA	22.6875	22.6875					false	0.1	false	3	15	1845790	N
B2	SE-25-0671-001-1B	B11b	UNKNOWN	FAM	TAMRA	Undetermined						false	0.1	false	3	15	1845791	N
B3	SE-25-0671-001-1B	Sh	UNKNOWN	FAM	TAMRA	Undetermined						false	0.1	false	3	15	1845792	N
B4	SE-25-0671-001-1B	n	UNKNOWN	FAM	TAMRA	Undetermined						false	0.1	false	3	15	1845793	N
B5	SE-25-0671-001-1B	pt	UNKNOWN	FAM	TAMRA	Undetermined						false	0.1	false	3	15	1845794	N
B6	SE-25-0671-001-1B	SbEP1	UNKNOWN	FAM	TAMRA	Undetermined						false	0.1	false	3	15	1845795	N
B7																		N
B8																		N
B9																		N
B10																		N
B11																		N
B12																		N
C1	SE-25-0671-002-1A	BnAcc8	UNKNOWN	VIC	TAMRA	22.6409	22.6409					false	0.1	false	3	15	1845805	N
C2	SE-25-0671-002-1A	B11b	UNKNOWN	FAM	TAMRA	Undetermined						false	0.1	false	3	15	1845806	N
C3	SE-25-0671-002-1A	Sh	UNKNOWN	FAM	TAMRA	Undetermined						false	0.1	false	3	15	1845807	N
C4	SE-25-0671-002-1A	n	UNKNOWN	FAM	TAMRA	Undetermined						false	0.1	false	3	15	1845808	N
